MonthName,MonthNumber
01,1
02,2
03,3
04,4
05,5
06,6
07,7
08,8
09,9
1,1
10,10
10月,10
11,11
12,12
12 월,12
12月,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
1月,1
2,2
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
2月,2
3,3
30,30
31,31
4,4
4 월,4
5,5
6,6
7,7
8,8
9,9
a 'chèitean,5
a 'ghiblean,4
abendua,12
abril,4
abrëll,4
abuztu,8
adar,3
afrilu,4
agasti,8
ago,8
agost,8
agosti,8
agosto,8
agusta,8
agustos,8
agustus,8
aibreán,4
am faoilleach,1
am màrt,3
an dàmhair,10
an dùbhlachd,12
an gearran,2
an lùnastal,8
an t-iuchar,7
an t-samhain,11
an t-sultain,9
an t-ògmhios,6
ao\u00fbt,8
aogositra,8
aostu,8
aout,8
août,8
apelila,4
apr,4
aprel,4
april,4
aprila,4
aprile,4
aprili,4
aprilie,4
aprilis,4
aprill,4
aprilo,4
aprily,4
apríl,4
apríla,4
aprīlis,4
aprƒ´lis,4
aralık,12
aug,8
august,8
augusta,8
augusti,8
augusts,8
augustus,8
augusztus,8
aukuso,8
avgust,8
avqust,8
avril,4
avrêl,4
awissu,8
awst,8
azaroa,11
aäustos,8
ağustos,8
aŭgusto,8
balandis,4
balandzio,4
balandžio,4
bealtaine,5
berfanbar,12
bilər,5
birzelio,6
birželio,6
birželis,6
březen,3
března,3
cervence,7
chervnia,7
chikumi,6
chikunguru,7
chivabvu,5
chwefror,2
cotmeh,10
czerwca,6
czerwiec,6
có thể,5
d\u00e9cembre,12
de novembre,11
dec,12
decembar,12
december,12
decembra,12
decembre,12
decembrie,12
decembris,12
decembro,12
deireadh fómhair,10
dekabr,12
desambra,12
desanm,12
desemba,12
desember,12
desembre,12
desimber,12
detsember,12
dezember,12
dezembro,12
dhjetor,12
dic,12
dicembre,12
diciembre,12
disamba,12
disemba,12
disember,12
disyembre,12
diċembru,12
duben,4
dubna,4
décembre,12
e se eka,5
eanáir,1
ebrill,4
ekim,10
elokuu,8
elokuuta,8
enero,1
etimnga,12
eyedwarha,10
eyekhala,7
eyenkanga,11
eyethupha,8
eylul,9
eylã¼l,9
eylül,9
eyokwindla,3
eyomdumba,2
eyomqungu,1
